manufacturer,model_name,category,screen_size_inches,screen,cpu,cpu_manufacturer,cpu_speed,ram_gb,storage_1_type,storage_1_capacity_gb,storage_2_type,storage_2_capacity_gb,gpu,gpu_manufacturer,os,os_version,weight_kg,screen_resolution,price_euros
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3,Intel,,8.0,SSD,128.0,,,Intel Iris Plus Graphics 640,,macOS,X,1.37,2560x1600,1339.69
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8,Intel,,8.0,Flash Storage,128.0,,,Intel HD Graphics 6000,,macOS,X,1.34,1440x900,898.94
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,No OS,Version Unknown,1.86,1920x1080,575.0
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7,Intel,,16.0,SSD,512.0,,,AMD Radeon Pro 455,,macOS,X,1.83,2880x1800,2537.45
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1,Intel,,8.0,SSD,256.0,,,Intel Iris Plus Graphics 650,,macOS,X,1.37,2560x1600,1803.6
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3,AMD,,4.0,HDD,500.0,,,AMD Radeon R5,,Windows,10,2.1,1366x768,400.0
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2,Intel,,16.0,Flash Storage,256.0,,,Intel Iris Pro Graphics,,macOS,X,2.04,2880x1800,2139.97
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8,Intel,,8.0,Flash Storage,256.0,,,Intel HD Graphics 6000,,macOS,X,1.34,1440x900,1158.7
Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,16.0,SSD,512.0,,,Nvidia GeForce MX150,,Windows,10,1.3,1920x1080,1495.0
Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.6,1920x1080,770.0
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5,Intel,,4.0,HDD,500.0,,,Intel HD Graphics 620,,No OS,Version Unknown,1.86,1366x768,393.9
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,4.0,HDD,500.0,,,Intel HD Graphics 520,,No OS,Version Unknown,1.86,1920x1080,344.99
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8,Intel,,16.0,SSD,256.0,,,AMD Radeon Pro 555,,macOS,X,1.83,2880x1800,2439.97
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,4.0,SSD,256.0,,,AMD Radeon R5 M430,,Windows,10,2.2,1920x1080,498.9
Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 615,,macOS,X,0.92,2304x1440,1262.4
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3,Intel,,8.0,SSD,256.0,,,Intel Iris Plus Graphics 640,,macOS,X,1.37,2560x1600,1518.55
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,AMD Radeon R5 M430,,Windows,10,2.2,1920x1080,745.0
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9,Intel,,16.0,SSD,512.0,,,AMD Radeon Pro 560,,macOS,X,1.83,2880x1800,2858.0
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce 940MX,,No OS,Version Unknown,2.2,1920x1080,499.0
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,128.0,,,Intel UHD Graphics 620,,Windows,10,1.22,1920x1080,979.0
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44,Intel,,2.0,Flash Storage,32.0,,,Intel HD Graphics 400,,Windows,10,0.98,1366x768,191.9
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1050,,Windows,10,2.5,1920x1080,999.0
HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5,AMD,,4.0,HDD,500.0,,,AMD Radeon R2,,No OS,Version Unknown,1.86,1366x768,258.0
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.62,1920x1080,819.0
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.91,1920x1080,659.0
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 520,,Windows,10,2.3,1366x768,418.64
